"ID","NAME","PARENT_ID","URL","PICTUR_URL","STATUS","UUID","CODING","REMARK","CHILDROOT_EXIST","TREE_PATH","NUM","PROVINCE_CODE","RESOURCE_POOL_CODE","REDIRECT_PATH","IS_SHOW","ALIAS","COMPONENT"
"0101","系统首页","1","/home","solidIcon iconhome","1","","100101","","1","","1",,,"","1","systemHome","Home"
"0200","资产概况","2","/infoAssets/assetsProfile","solidIcon iconapp","1",,"100203",,"0",,"0",,,"","1","assetsProfile","RouteView"
"0201","资产管理","2","/infoAssets/assetsManage","solidIcon iconasset_management","1","","100201","","1","","1",,,"/infoAssets/assetsManage/infoAssetsManage","1","assetsManage","RouteView"
"020101","资产信息管理-2020","0201","/infoAssets/assetsManage/assetsInfoManage","solidIcon iconcode","0","","10020101","","1","","1",,,,"1","assetsInfoManage","RouteView"
"020102","资产认领管理","0201","/infoAssets/assetClaimManagement/AssetClaimManagement","solidIcon iconClaim","1","","10020102","","1","","3",,,,"1","assetClaimManagement","RouteView"
"020103","漏洞指纹管理","0201","/infoAssets/assetsManage/assetsFingerprint","solidIcon iconcooperation","1",,"10020107",,"0",,"7",,,"","1","assetsFingerprint","RouteView"
"020104","资产变更管理","0201","/infoAssets/assetChangeManagement/AssetChangeManagement","solidIcon iconnetworksecurity","1","","10020103","","1","","4",,,,"1","AssetChangeManagement","RouteView"
"020105","资产名单管理","0201","/infoAssets/assetsManage/assetNameListManage","solidIcon iconmanufacturerManage","1","","10020104","","1","","5",,,,"1","AssetNameListManage","RouteView"
"020106","资产备案管理","0201","/infoAssets/assetsManage/assetsFilingManage","solidIcon iconarchives","1","","10020105","","1","","6",,,,"1","assetsFilingManage","RouteView"
"0202","审核管理","2","/infoAssets/examineManage","solidIcon iconAudit_management","1","","100202","","1","","2",,,"/infoAssets/examineManage/assetsExamineManage","1","examineManage","RouteView"
"020201","审核模型配置","0202","/infoAssets/examineManage/examineModel","solidIcon iconcloudDisk","1","","10020201","","1","","1",,,,"1","examineModel","RouteView"
"020202","资产审核管理","0202","/infoAssets/examineManage/assetsExamineManage","solidIcon iconprojector","1","","10020202","","1","","2",,,,"1","assetsExamineManage","RouteView"
"0301","基准指纹库管理","3","/networkMapping/criterionFingerprintDatabase","solidIcon iconfingerprint","1","","100301","","1","","2",,,"/networkMapping/criterionFingerprintDatabase/fingerprintDB","1","criterionFingerprintDatabase","RouteView"
"030101","指纹库管理","0301","/networkMapping/criterionFingerprintDatabase/fingerprintDB","solidIcon icondevice","1","","10030101","","1","","1",,,,"1","fingerprintDB","RouteView"
"0302","资产指纹管理","3","/assetFingerManage/FingerCollectManage","solidIcon iconuserGroup","1","","100303","","1","","4",,,"/networkMapping/assetFingerManage/FingerCollectManage","1","assetFingerManage","RouteView"
"030201","指纹采集管理","0302","/networkMapping/assetFingerManage/FingerCollectManage","solidIcon iconrelease","1","","10030301","","1","","1",,,,"1","FingerCollectManage","RouteView"
"030202","资产指纹全貌","0302","/networkMapping/assetFingerManage/FingerprintPanorama","solidIcon iconassist","1","","10030302","","1","","2",,,,"1","FingerprintPanorama","RouteView"
"0303","资产扫描管理","3","/networkMapping/Assetscanningmanagement","solidIcon iconfingerprint","1","","100304","","1","","5",,,"/networkMapping/Assetscanningmanagement/ScanResultsManagement","1","Assetscanningmanagement","RouteView"
"030301","扫描模式管理","0303","/networkMapping/Assetscanningmanagement/ScanModeManagement","solidIcon icontimeLine","1","","10030401","","1","","1",,,,"1","ScanModeManagement","RouteView"
"030302","智能发现管理","0303","/networkMapping/Assetscanningmanagement/DiscoveryManagement","solidIcon iconai","1","","10030402","","1","","2",,,,"1","DiscoveryManagement","RouteView"
"030305","扫描结果管理","0303","/networkMapping/Assetscanningmanagement/ScanResultsManagement","solidIcon icontask","0","","10030404","","1","","5",,,,"1","ScanResultsManagement","RouteView"
"0304","采集基准管理","3","/collectBenchmark/collectMarkManage","solidIcon iconcomputer","1","","100302","","1","","3",,,"/networkMapping/collectBenchmark/collectMarkManage","1","collectMarkManage","RouteView"
"030401","采集类型管理","0304","/networkMapping/collectMarkManage/FingerTypeManage","solidIcon iconincomplete","1","","10030201","","0","","1",,,,"1","FingerTypeManage","RouteView"
"0403","风险可视化","4","/riskWarning/riskVisualization","solidIcon iconasn","0","","100603","","1","","3",,,"/riskVisualization/threatSituation","1","riskVisualization","RouteView"
"0501","威胁信息管理","5","","","0","","","","1","","0",,,,"0",,"RouteView"
"050101","威胁信息采集","5","","","0","","","","1","","1",,,,"0",,"RouteView"
"050102","威胁情报管理","5","/threatIntelligence/intelligenceManage","solidIcon iconcycle","1","","100404","","1","","3",,,"","1","intelligenceManage","RouteView"
"050103","威胁情报中心","5","/threatIntelligence/intelligenceCenter","solidIcon iconfingerprint","1","","100402","","1","","2",,,"","1","intelligenceCenter","RouteView"
"050104","威胁情报可视化","5","/threatIntelligence/intelligenceVisualization","solidIcon iconBusiness_system","1","","100405","","1","","1",,,,"1","intelligenceVisualization","RouteView"
"0601","防火墙策略管理","6","","","1","","","","1","","0",,,,"1",,"RouteView"
"060101","防火墙策略采集","0601","","","1","","","","1","","0",,,,"1",,"RouteView"
"060102","防火墙策略备份","0601","","","1","","","","1","","0",,,,"1",,"RouteView"
"060103","防火墙策略可视化","0601","","","1","","","","1","","0",,,,"1",,"RouteView"
"0602","运维流程管理","6","","","1","","","","1","","0",,,,"1",,"RouteView"
"060201","XXXXXXX","0602","","","1","","","","1","","0",,,,"1",,"RouteView"
"0603","运维时间优化","6","","","1","","","","1","","0",,,,"1",,"RouteView"
"060301","策略变更影响分析","0603","","","1","","","","1","","0",,,,"1",,"RouteView"
"060302","策略命中分析","0603","","","1","","","","1","","0",,,,"1",,"RouteView"
"060303","策略运维分析","0603","","","1","","","","1","","0",,,,"1",,"RouteView"
"060304","策略使用情况分析","0603","","","1","","","","1","","0",,,,"1",,"RouteView"
"0604","风险控制管理","6","","","1","","","","1","","0",,,,"1",,"RouteView"
